open_dt,close_dt,signal,adn_mi_psy,type,direction,entry,sl_str,tp_str,lots_str,balance_open,profit,raison_sl,raison_tp,atr_m15,atr_h1,atr_h4,adx_h4,ema200_d1_pct,spread_pts,score_buy,score_sell,context_score,risk_mul,risk_used_pct,psy_peur,psy_cupidite,psy_epuise_vend,psy_epuise_ach,adn_force_explo,mi_cible_inst,dg_buy_susp,dg_sell_ovr,adn,miroir,psy,signal_class,sl,tp,lots,sl_dist,tp_dist,rr_target,sl_dist_pct,tp_dist_pct,raison_sl_explosion,raison_sl_compression,raison_sl_tendance,raison_sl_pullback,raison_sl_inst,open_ts,hour,dow,month,session,win,profit_pct
2022.05.10 16:31,2022.05.11 09:14,SELL TENDANCE [Cerveau v5],ADN_DECLENCHEUR|MANIPULATION_BAISSIER|NEUTRE,TENDANCE_H4,SELL,1842.26,SL=1853.37,TP=1814.48,Lots=0.01,1000.0,-11.13,SL_APRES_MANIPULATION_1.80xATR,TP_TENDANCE_RR1.5-2.5,0.0,6.17279,9.70221,29.78,-1.4038,200,0,1,1.066,1.066,2.132,71.805,28.195,58.2777,41.7223,0.0,1857.53,0,0,ADN_DECLENCHEUR,MANIPULATION_BAISSIER,NEUTRE,TENDANCE,1853.37,1814.48,0.01,11.1099999999999,27.779999999999973,2.5004500450045204,0.6030636283694972,1.507930476697099,0,0,0,0,0,2022-05-10 16:31:00,16,1,5,NY,0,-1.113
2022.05.11 22:15,2022.05.12 17:01,SELL TENDANCE [Cerveau v5],ADN_DECLENCHEUR|OK|NEUTRE,TENDANCE_H4,SELL,1851.22,SL=1862.74,TP=1822.43,Lots=0.01,988.87,28.8,SL_TENDANCE_H4_1.80xATR,TP_TENDANCE_RR1.5-2.5,1.52771,6.39829,10.57464,25.96,-0.9104,200,0,1,0.893,0.893,1.786,47.4971,52.5029,39.2066,60.7934,0.0,0.0,0,0,ADN_DECLENCHEUR,OK,NEUTRE,TENDANCE,1862.74,1822.43,0.01,11.519999999999982,28.789999999999964,2.499131944444445,0.6222923261416786,1.5551906310433101,0,0,1,0,0,2022-05-11 22:15:00,22,2,5,ASIA,1,2.912415180964131
2022.05.12 17:01,2022.05.13 14:04,SELL OVERRIDE D1 [DualGuard] H4-REVERSAL (suspend 8h),ADN_EXPLOSION|OK|NEUTRE,TENDANCE_H4,SELL,1822.22,SL=1835.36,TP=1779.50,Lots=0.01,1017.67,9.88,SL_EXPLOSION_ADN_1.80xATR,TP_EXPLOSION_FORCE_RR1.8-3.3,4.54657,7.3025,12.02414,31.18,-2.4404,200,0,1,1.3475,1.05,2.1,75.1039,24.8961,47.7966,52.2034,96.1756,0.0,1,1,ADN_EXPLOSION,OK,NEUTRE,SELL_OVERRIDE,1835.36,1779.5,0.01,13.139999999999873,42.72000000000003,3.251141552511449,0.7210984403639447,2.3443931029184197,1,0,0,0,0,2022-05-12 17:01:00,17,3,5,NY,1,0.970845165918225
2022.05.16 02:15,2022.05.16 07:44,SELL TENDANCE [Cerveau v5],ADN_DECLENCHEUR|MANIPULATION_HAUSSIER|NEUTRE,TENDANCE_H4,SELL,1812.32,SL=1822.68,TP=1786.44,Lots=0.02,1027.55,15.55,SL_APRES_MANIPULATION_1.80xATR,TP_TENDANCE_RR1.5-2.5,2.1085,5.75221,10.19671,38.45,-2.8845,200,0,1,1.1293,1.05,2.1,58.2755,41.7245,54.597,45.403,0.0,1804.76,0,0,ADN_DECLENCHEUR,MANIPULATION_HAUSSIER,NEUTRE,TENDANCE,1822.68,1786.44,0.02,10.360000000000127,25.87999999999988,2.498069498069456,0.5716429769577187,1.428003884523698,0,0,0,0,0,2022-05-16 02:15:00,2,0,5,ASIA,1,1.513308354824583
2022.05.16 12:00,2022.05.16 14:11,SELL TENDANCE [Cerveau v5],ADN_DECLENCHEUR|OK|RETOUR_HAUSSIER,TENDANCE_H4,SELL,1800.48,SL=1811.81,TP=1772.17,Lots=0.01,1050.37,-11.36,SL_RETOURNEMENT_PSY_1.80xATR,TP_TENDANCE_RR1.5-2.5,3.04136,6.29207,10.99829,38.42,-3.5127,200,0,1,1.3602,1.05,2.1,60.7462,39.2538,44.1846,55.8154,0.0,0.0,0,0,ADN_DECLENCHEUR,OK,RETOUR_HAUSSIER,TENDANCE,1811.81,1772.17,0.01,11.329999999999927,28.309999999999945,2.4986760812003643,0.6292766373411495,1.5723584821825258,0,0,0,0,0,2022-05-16 12:00:00,12,0,5,LONDON,0,-1.0815236535696946
2022.05.17 19:00,2022.05.25 18:02,SELL TENDANCE [Cerveau v5],ADN_DECLENCHEUR|MANIPULATION_BAISSIER|RETOUR_HAUSSIER,TENDANCE_H4,SELL,1816.2,SL=1826.39,TP=1790.72,Lots=0.02,1039.01,-7.46,SL_APRES_MANIPULATION_1.80xATR,TP_TENDANCE_RR1.5-2.5,2.41729,5.66107,11.15314,23.81,-2.6582,200,0,1,1.066,1.066,2.132,57.4198,42.5802,57.1144,42.8856,0.0,1829.12,0,0,ADN_DECLENCHEUR,MANIPULATION_BAISSIER,RETOUR_HAUSSIER,TENDANCE,1826.39,1790.72,0.02,10.190000000000055,25.480000000000018,2.500490677134434,0.5610615570972389,1.4029291928201748,0,0,0,0,0,2022-05-17 19:00:00,19,1,5,NY,0,-0.7179911646663651
2022.05.25 16:45,2022.05.25 18:02,SELL TENDANCE [Cerveau v5],ADN_EXPLOSION|MANIPULATION_BAISSIER|RETOUR_HAUSSIER,TENDANCE_H4,SELL,1843.81,SL=1851.27,TP=1819.58,Lots=0.02,1039.01,-7.46,SL_EXPLOSION_ADN_1.59xATR,TP_CIBLE_INSTIT_RR3.3,2.65864,4.6915,8.57064,31.08,-1.1039,200,0,2,0.893,0.893,1.786,69.8696,30.1304,65.5791,34.4209,100.0,1856.34,0,0,ADN_EXPLOSION,MANIPULATION_BAISSIER,RETOUR_HAUSSIER,TENDANCE,1851.27,1819.58,0.02,7.460000000000036,24.230000000000018,3.2479892761393967,0.4045970029449909,1.3141267267234702,1,0,0,0,0,2022-05-25 16:45:00,16,2,5,NY,0,-0.7179911646663651
2022.05.25 18:02,2022.05.27 01:55,SELL TENDANCE [Cerveau v5],ADN_EXPLOSION|OK|NEUTRE,TENDANCE_H4,SELL,1851.07,SL=1860.09,TP=1821.77,Lots=0.02,1024.09,-8.49,SL_EXPLOSION_ADN_1.80xATR,TP_EXPLOSION_FORCE_RR1.8-3.3,2.49186,5.0095,8.85486,31.08,-0.7184,200,0,2,0.893,0.893,1.786,56.5241,43.4759,68.4261,31.5739,96.9092,0.0,0,0,ADN_EXPLOSION,OK,NEUTRE,TENDANCE,1860.09,1821.77,0.02,9.019999999999982,29.299999999999955,3.248337028824835,0.4872857320360646,1.5828682869907649,1,0,0,0,0,2022-05-25 18:02:00,18,2,5,NY,0,-0.8290286986495329
2022.05.26 16:31,2022.05.27 01:55,SELL TENDANCE [Cerveau v5],ADN_DECLENCHEUR|OK|NEUTRE,TENDANCE_H4,SELL,1847.03,SL=1855.52,TP=1825.79,Lots=0.02,1024.09,-8.49,SL_TENDANCE_H4_1.80xATR,TP_TENDANCE_RR1.5-2.5,2.90793,4.71836,8.42543,46.41,-0.9277,200,0,2,0.943,0.943,1.886,53.8618,46.1382,59.9457,40.0543,0.0,0.0,0,0,ADN_DECLENCHEUR,OK,NEUTRE,TENDANCE,1855.52,1825.79,0.02,8.490000000000009,21.24000000000001,2.501766784452295,0.45965685451779387,1.1499542508784377,0,0,1,0,0,2022-05-26 16:31:00,16,3,5,NY,0,-0.8290286986495329
2022.05.27 12:45,2022.05.27 13:06,SELL TENDANCE [Cerveau v5],ADN_DECLENCHEUR|OK|NEUTRE,TENDANCE_H4,SELL,1852.07,SL=1859.80,TP=1832.75,Lots=0.02,1007.11,-7.74,SL_TENDANCE_H4_1.80xATR,TP_TENDANCE_RR1.5-2.5,2.472,4.29286,8.368,32.38,-0.6536,200,0,2,1.0538,1.0538,1.897,52.3368,47.6632,14.4855,85.5145,0.0,0.0,0,0,ADN_DECLENCHEUR,OK,NEUTRE,TENDANCE,1859.8,1832.75,0.02,7.730000000000018,19.319999999999936,2.4993531694695847,0.41737083371578926,1.043157116091721,0,0,1,0,0,2022-05-27 12:45:00,12,4,5,LONDON,0,-0.7685357110941208
2022.05.30 02:00,2022.05.30 06:19,SELL TENDANCE [Cerveau v5],ADN_DECLENCHEUR|MANIPULATION_HAUSSIER|NEUTRE,TENDANCE_H4,SELL,1856.74,SL=1863.92,TP=1838.81,Lots=0.02,991.63,-7.19,SL_APRES_MANIPULATION_1.80xATR,TP_TENDANCE_RR1.5-2.5,1.82079,3.98536,6.8635,26.98,-0.3919,200,0,1,1.1293,1.05,1.531,41.8012,58.1988,47.6916,52.3084,0.0,1846.44,0,0,ADN_DECLENCHEUR,MANIPULATION_HAUSSIER,NEUTRE,TENDANCE,1863.92,1838.81,0.02,7.180000000000064,17.930000000000064,2.4972144846796525,0.38669926861057896,0.9656710147893655,0,0,0,0,0,2022-05-30 02:00:00,2,0,5,ASIA,0,-0.7250688260742415
2022.05.30 10:30,2022.05.31 05:54,SELL TENDANCE [Cerveau v5],ADN_DECLENCHEUR|OK|NEUTRE,TENDANCE_H4,SELL,1855.61,SL=1861.94,TP=1839.80,Lots=0.01,977.25,1.18,SL_TENDANCE_H4_1.80xATR,TP_TENDANCE_RR1.5-2.5,1.67929,3.51471,6.8455,22.37,-0.452,200,0,1,1.2816,1.05,1.24,51.4248,48.5752,38.236,61.764,0.0,0.0,0,0,ADN_DECLENCHEUR,OK,NEUTRE,TENDANCE,1861.94,1839.8,0.01,6.330000000000155,15.809999999999945,2.4976303317534847,0.3411277154143465,0.8520109290206426,0,0,1,0,0,2022-05-30 10:30:00,10,0,5,LONDON,1,0.12074699411614223
